event_date,primary,dependent,event_type,beta,r2,revenue_pct,expected_a,expected_b,actual_return,score_a,score_b,direction,is_liquid,is_htb,skipped,skip_reason,score_h1,score_h2,score_h3,score_h4,score_h7,score_h14,score_h21,score_h35,score_h49,score_h70
2021-10-29,XOM,PVL,Earnings,3.265454810177194,0.8091682342891324,0.23,0.03306823893885615,0.007605694955936915,0.001729206294310936,0.9477079412209319,0.7726432226997036,long,True,True,False,,2.446218546249166,0.7726432226997036,1.057464946923173,-0.09131253104139958,-0.46707696618494116,3.6272222830145338,2.3881278467279334,1.4559650597967393,3.7857462745266797,-5.349511612658897
2021-10-29,CVX,DXC,Earnings,0.6270783454953262,0.05718811641998134,0.31,0.011017712763973755,0.003415490956831864,0.005406803597406168,0.5092626107402624,-0.5830238363217342,short,True,False,False,,-2.048988066924016,-0.5830238363217342,-1.5610056784717143,-1.5647527650621387,-0.38550660114267515,-2.475628398088044,-1.9149230495977179,-11.438139740116506,-0.8693074581825709,-11.91185527092967
2021-10-29,CVX,MUR,Earnings,2.0879911817925003,0.5266775757490483,0.19,0.03668582603746016,0.00697030694711743,-0.01503256260725821,1.4097648664611873,3.156657191900986,long,True,False,False,,4.499307036683916,3.156657191900986,4.0117121678105,3.748886133821443,1.1317470072923952,-2.4124607118177592,-3.3040245874379615,2.7907276894086905,-8.028133766458017,-2.0078768090259103
2021-10-29,CVX,RIG,Earnings,2.959423475954804,0.1503393794986846,0.149,0.05199681672833948,0.007747525692522583,-0.030703226138121525,1.590482803948026,4.9629718385773565,long,True,False,False,,4.237589222300991,4.9629718385773565,6.045888156863732,6.905609823988127,6.082262852715269,0.30188332489261394,1.5274029284078496,2.0076936885569228,2.096127028720009,9.583131279069313
2021-10-29,CVX,TPL,Earnings,0.9217233629828483,0.17300418148428243,0.11,0.01619460045804537,0.0017814060503849906,-0.0021453192941969144,1.132471270270279,2.204284275184356,long,False,False,False,,3.5751697315567377,2.204284275184356,-0.40008044576224,-2.427302858738757,-5.219457221125282,-15.714851321128807,-9.365219549917354,5.842796449930909,-44.53621152945101,-35.03414504422666
2022-01-25,RTX,AIRI,Earnings,0.6083600573826655,0.02727353614912076,0.382,0.009940869949043918,0.0037974123205347767,-0.04351830044104689,5.377715498152387,12.459988215058605,long,True,True,False,,7.159365710450111,12.459988215058605,4.061765175135893,4.9629425020862605,-5.820716181023406,-9.593894008584543,-17.79121805917656,-8.963216733864448,-7.395554109432359,10.548222461990036
2022-01-25,RTX,CVU,Earnings,-0.06735852208433979,0.00017909093826462552,0.36,0.0,0.0,0.02393668155175016,-22.747417516918766,0.0,long,False,True,True,conflicting multi-primary signal,,,,,,,,,,
2022-01-25,RTX,MTX,Earnings,0.3145342100252618,0.03821896000430902,0.2475,0.005139626835197753,0.001272057641711444,0.005702993710416392,-0.10961240830959329,-3.483282457816538,short,True,False,False,,4.852471224334113,-3.483282457816538,0.6137738915810119,-5.17142007183525,5.405135708379061,-1.406067842124551,-4.067919978663394,-1.9555048998434836,11.08342655379416,34.92498424368672
2022-01-25,RTX,MRCY,Earnings,0.36456223144585387,0.022507076459326036,0.19,0.005957106629794571,0.0011318502596609685,-0.0029144646054360956,1.4892416380226183,3.5749559895927283,long,True,False,False,,-7.170225363121208,3.5749559895927283,10.939285553055052,12.142277751437314,30.371360585680364,23.038902114974185,28.771735041995992,12.607224860823434,101.41362776776427,109.39777200461175
2022-01-25,LMT,AIRI,Earnings,-1.7341183444979358,0.4156107945982711,0.302,-0.04719175210558916,-0.014251909135887926,-0.04351830044104689,-0.07784096797938563,2.0535067285450808,long,True,True,False,,0.6411591606800868,2.0535067285450808,-0.18419457436984393,0.0559235636086378,-2.817375582017103,-3.822736466185877,-6.0069083584096905,-3.654692898796533,-3.2369901680466007,1.5441179332995285
2022-01-25,LMT,CVU,Earnings,-1.2311023146004225,0.15838557364919514,0.24,-0.033502831817433285,-0.008040679636183988,0.02393668155175016,-1.7144674122530337,-3.9769475510543075,short,False,True,True,conflicting multi-primary signal,-1.195646879328887,-3.9769475510543075,-2.987923949511758,-4.88633720264372,-0.4439428753342748,2.1187337330905485,4.23430569054013,5.3578133402439345,10.71157710741526,12.25841616575892
2022-01-25,LMT,EMKR,Earnings,-1.0344178623479874,0.11357405218594441,0.2391,-0.028150322893708238,-0.00673074220388564,-0.004634747019678434,-0.8353572341895117,-0.3114062492242227,short,True,True,False,,-2.6502113953395634,-0.3114062492242227,0.667962372431792,0.06166083947804958,-0.7905353278506296,-0.912796704702946,3.4842919779785504,-1.6925198631023215,4.622338190445198,4.074878259416067
2022-01-25,LMT,SIF,Earnings,-0.7714538405448539,0.00900493217149878,0.1108,-0.020994102576337048,-0.002326146565458145,0.008540399652236621,-1.4067999392297297,-4.671479595936188,short,False,True,False,,-5.543565429249648,-4.671479595936188,-28.47245821697027,14.3064324231237,17.065227862981775,-30.79938870156187,-57.5695049430771,13.224975880092531,-4.539631199473543,23.440354042749057
2022-01-25,LMT,TTMI,Earnings,0.006497139480392784,5.346500142222599e-05,0.1105,0.0,0.0,-0.018077077407404763,0.0,0.0,long,False,False,True,below threshold,,,,,,,,,,
2022-01-27,NOC,FEIM,Earnings,1.0,0.0,0.3959,0.0,0.0,,0.0,0.0,long,False,True,True,zero volume bars,,,,,,,,,,
2022-01-27,NOC,SYPR,Earnings,-0.4514298792271229,0.012177336959947715,0.23,0.022797975299717735,0.005243534318935079,-0.060500332500009045,3.6537590160806124,12.538082678611358,short,True,True,False,,5.786460887100761,12.538082678611358,13.307417613134152,15.948501972952387,21.963327031843864,24.463246358453645,16.696193942163283,18.59658702245122,15.770793983898416,11.265276250122108
2022-01-27,NOC,MRCY,Earnings,0.15924989981037968,0.017831579423424726,0.12,0.0,0.0,0.00014166143355430223,-1.0176143445231074,0.0,long,False,False,True,below threshold,,,,,,,,,,
2022-01-27,NOC,CVU,Earnings,0.04774262906480616,0.0023200459757751757,0.08,0.0,0.0,0.016382500660851233,-7.794662432522287,0.0,long,False,True,True,below threshold,,,,,,,,,,
